ciudad;conglomerado;panelm;vivienda;hogar;periodo;mes;id_vivienda;id_consumo;Fecha;Id_persona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;2;1;2021;11;2802;20212401501921;11/1/2021;2021112401501921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;3;1;2021;8;2803;20212401501931;8/1/2021;202182401501931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;3;1;2021;11;2804;20212401501931;11/1/2021;2021112401501931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;4;1;2021;11;2805;20212401501941;11/1/2021;2021112401501941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;5;1;2021;8;2806;20212401501951;8/1/2021;202182401501951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;5;1;2021;11;2807;20212401501951;11/1/2021;2021112401501951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;6;1;2021;8;2808;20212401501961;8/1/2021;202182401501961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;6;1;2021;11;2809;20212401501961;11/1/2021;2021112401501961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;7;1;2021;8;2810;20212401501971;8/1/2021;202182401501971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;7;1;2021;11;2811;20212401501971;11/1/2021;2021112401501971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;8;1;2021;8;2812;20212401501981;8/1/2021;202182401501981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;9;1;2021;8;2813;20212401501991;8/1/2021;202182401501991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;2;1;2021;8;2830;20212401501921;8/1/2021;202182401501921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;19;4;1;2021;8;2834;20212401501941;8/1/2021;202182401501941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;25;1;1;2021;10;2842;20212401502511;10/1/2021;2021102401502511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;25;3;1;2021;10;2843;20212401502531;10/1/2021;2021102401502531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;25;4;1;2021;10;2844;20212401502541;10/1/2021;2021102401502541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;25;6;1;2021;10;2845;20212401502561;10/1/2021;2021102401502561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;25;7;1;2021;10;2846;20212401502571;10/1/2021;2021102401502571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;25;10;1;2021;10;2847;202124015025101;10/1/2021;20211024015025101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;8;1;1;2021;2;2848;2021240150811;2/1/2021;20212240150811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;8;2;1;2021;2;2849;2021240150821;2/1/2021;20212240150821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;8;3;1;2021;2;2851;2021240150831;2/1/2021;20212240150831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;8;4;1;2021;2;2852;2021240150841;2/1/2021;20212240150841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;8;5;1;2021;2;2853;2021240150851;2/1/2021;20212240150851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;8;7;1;2021;2;2854;2021240150871;2/1/2021;20212240150871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;8;8;1;2021;2;2855;2021240150881;2/1/2021;20212240150881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;1;1;2021;5;2856;20212401502011;5/1/2021;202152401502011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;1;1;2021;8;2857;20212401502011;8/1/2021;202182401502011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;2;1;2021;5;2858;20212401502021;5/1/2021;202152401502021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;2;1;2021;8;2859;20212401502021;8/1/2021;202182401502021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;3;1;2021;5;2860;20212401502031;5/1/2021;202152401502031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;3;1;2021;8;2861;20212401502031;8/1/2021;202182401502031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;4;1;2021;5;2862;20212401502041;5/1/2021;202152401502041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;4;1;2021;8;2863;20212401502041;8/1/2021;202182401502041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;5;1;2021;8;2864;20212401502051;8/1/2021;202182401502051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;6;1;2021;5;2865;20212401502061;5/1/2021;202152401502061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;6;1;2021;8;2866;20212401502061;8/1/2021;202182401502061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;7;1;2021;5;2867;20212401502071;5/1/2021;202152401502071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;7;1;2021;8;2868;20212401502071;8/1/2021;202182401502071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;20;8;1;2021;5;2869;20212401502081;5/1/2021;202152401502081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;1;1;2021;12;2870;20212401501011;12/1/2021;2021122401501011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;2;1;2021;3;2871;20212401501021;3/1/2021;202132401501021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;2;1;2021;12;2872;20212401501021;12/1/2021;2021122401501021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;3;1;2021;3;2873;20212401501031;3/1/2021;202132401501031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;3;1;2021;12;2874;20212401501031;12/1/2021;2021122401501031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;4;1;2021;3;2875;20212401501041;3/1/2021;202132401501041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;4;1;2021;12;2876;20212401501041;12/1/2021;2021122401501041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;5;1;2021;3;2881;20212401501051;3/1/2021;202132401501051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;5;1;2021;12;2882;20212401501051;12/1/2021;2021122401501051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;6;1;2021;3;2885;20212401501061;3/1/2021;202132401501061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;7;1;2021;3;2886;20212401501071;3/1/2021;202132401501071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;7;1;2021;12;2887;20212401501071;12/1/2021;2021122401501071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;8;1;2021;12;2888;20212401501081;12/1/2021;2021122401501081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;10;9;1;2021;3;2889;20212401501091;3/1/2021;202132401501091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;1;1;2021;9;2890;20212401502211;9/1/2021;202192401502211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;2;1;2021;9;2891;20212401502221;9/1/2021;202192401502221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;3;1;2021;9;2892;20212401502231;9/1/2021;202192401502231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;4;1;2021;6;2893;20212401502241;6/1/2021;202162401502241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;4;1;2021;9;2894;20212401502241;9/1/2021;202192401502241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;5;1;2021;6;2895;20212401502251;6/1/2021;202162401502251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;5;1;2021;9;2896;20212401502251;9/1/2021;202192401502251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;6;1;2021;6;2897;20212401502261;6/1/2021;202162401502261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;6;1;2021;9;2898;20212401502261;9/1/2021;202192401502261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;7;1;2021;6;2899;20212401502271;6/1/2021;202162401502271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;8;1;2021;6;2900;20212401502281;6/1/2021;202162401502281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;9;1;2021;6;2901;20212401502291;6/1/2021;202162401502291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;22;9;1;2021;9;2902;20212401502291;9/1/2021;202192401502291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
